SubjectsBirthLocation,GenderBinary,Heightin,Weightlbs,waistcircumference
Alabama,0,64.70833333333333,151.125,871.6944444444445
Alabama,1,70.47826086956522,188.9891304347826,936.2826086956521
Alaska,0,62.0,135.0,907.0
Alaska,1,69.28571428571429,174.28571428571428,940.0
American Samoa,0,65.2,177.6,941.4
American Samoa,1,69.66666666666667,176.33333333333334,844.3333333333334
Antigua and Barbuda,0,74.0,205.0,1050.0
Argentina,0,67.0,175.0,939.0
Arizona,0,64.82142857142857,143.03571428571428,869.4642857142857
Arizona,1,69.83928571428571,184.35714285714286,929.7678571428571
Arkansas,0,64.625,152.75,902.75
Arkansas,1,70.8695652173913,186.58695652173913,924.4782608695652
Azerbaijan,0,57.0,100.0,720.0
Bahamas,1,68.0,190.0,1027.0
Bangladesh,0,60.0,110.0,740.0
Barbados,0,67.0,155.0,824.0
Barbados,1,70.0,167.5,827.75
Belarus,1,67.0,190.0,980.0
Belgium,0,66.0,153.0,819.0
Belgium,1,72.0,185.0,918.5
Belize,1,73.5,262.5,1246.0
Bermuda,0,66.0,142.0,840.0
Bolivia,0,64.0,145.0,935.0
Bolivia,1,66.0,187.0,995.0
Bosnia and Herzegovina,0,65.0,140.0,816.0
Brazil,1,66.0,152.0,795.0
British Virgin Islands,1,71.0,185.0,877.0
Bulgaria,0,63.0,140.0,865.0
Burma,0,65.0,126.0,777.0
California,0,64.47402597402598,145.3896103896104,858.461038961039
California,1,69.7568493150685,187.12328767123287,941.5924657534247
Cambodia,1,66.0,125.0,677.0
Cameroon,0,62.0,129.0,792.0
Cameroon,1,72.0,206.0,870.0
Canada,0,63.0,180.0,1029.0
Canada,1,69.875,181.875,920.125
Cape Verde,1,77.0,212.0,920.0
Chile,0,67.0,131.0,791.0
China,0,62.8,125.6,767.0
China,1,69.33333333333333,146.33333333333334,789.6666666666666
Colombia,0,63.2,129.4,782.2
Colombia,1,66.875,175.75,940.375
Colorado,0,63.96296296296296,141.77777777777777,861.7037037037037
Colorado,1,70.25925925925925,184.55555555555554,912.7592592592592
Connecticut,0,65.125,148.0,842.875
Connecticut,1,69.85714285714286,196.92857142857142,972.6071428571429
Costa Rica,1,71.5,201.5,992.0
Cuba,1,68.75,191.25,989.75
Delaware,0,63.666666666666664,153.83333333333334,857.6666666666666
Delaware,1,71.18181818181819,197.0909090909091,952.9090909090909
Denmark,0,67.0,140.0,840.0
District of Columbia,0,65.5,154.625,844.5
District of Columbia,1,71.36363636363636,188.8181818181818,926.8181818181819
Dominica,0,66.0,145.0,810.0
Dominican Republic,0,63.833333333333336,145.66666666666666,878.3333333333334
Dominican Republic,1,70.27272727272727,185.0909090909091,928.3636363636364
Ecuador,0,62.0,148.0,829.0
Ecuador,1,68.5,166.5,935.5
Egypt,1,73.0,110.0,966.0
El Salvador,0,62.0,122.0,749.5
El Salvador,1,68.0,172.33333333333334,926.3333333333334
Ethiopia,1,66.0,144.0,811.0
Fiji,0,62.0,127.0,923.0
Florida,0,64.77333333333333,148.76,854.6666666666666
Florida,1,69.99259259259259,187.2,933.1851851851852
France,1,71.66666666666667,185.0,955.6666666666666
French Guiana,1,75.0,195.0,925.0
Georgia,0,64.73076923076923,148.71794871794873,859.2820512820513
Georgia,1,70.52173913043478,188.16304347826087,924.9782608695652
Germany,0,65.55263157894737,146.8684210526316,850.4736842105264
Germany,1,70.46296296296296,184.90740740740742,918.1111111111111
Ghana,0,69.0,150.0,734.0
Ghana,1,69.0,170.0,803.0
Grenada,0,63.5,130.0,757.5
Grenada,1,70.0,195.0,912.5
Guadalupe,1,74.0,224.0,1004.0
Guam,0,63.5,141.0,850.5
Guam,1,68.5,176.83333333333334,893.6666666666666
Guatemala,1,66.0,212.0,1036.0
Guyana,0,62.0,136.0,857.0
Guyana,1,70.875,182.0,894.5
